DEM.tif,dis-gthc.tif,dis-railway.tif,dis-wator.tif,dis-zf.tif,dis_cityway11.tif,dis_cityway2.tif,dis_cityway3.tif,dis_cityway4.tif,dis_mainway.tif,gdp2015.tif,rainfall20002020.tif,rk2015.tif,slope1.tif,solid.tif,temprature2000-20201.tif,wind2000-20201.tif,Type
0.252076,0.408051,0.371752,0.0374421,0.813727,0.652343,0.717716,0.21176,0.029522,0.00451785,0.0019315,0.67154,0.00488195,0.0117583,0.5,0.270634,0.508491,0
0.23191,0.246662,0.21202,0.171688,0.639739,0.519129,0.444333,0.179117,0.00367527,0.132294,0.00199588,0.716993,0.00515031,0.0148727,0.428571,0.265474,0.457753,0
0.272835,0.0641535,0.00351932,0.196676,0.644387,0.56838,0.0228454,0.0763971,0.0225179,0.00456372,0.00199588,0.828514,0.0159466,0.0166278,0.428571,0.242349,0.379439,0
0.213523,0.232381,0.208519,0.117471,0.595929,0.482553,0.420941,0.126696,0.0583876,0.0187168,0.00206026,0.709362,0.0051665,0.0682307,0.428571,0.269425,0.459026,0
0.257414,0.104667,0.0672436,0.0972462,0.636134,0.580734,0.185665,0.00105648,0.0403044,0.149673,0.006889,0.847351,0.0158462,0.0189579,0.00357143,0.239418,0.381422,0
0.23191,0.0358825,0.0189751,0.256699,0.556718,0.490581,0.0611831,0.0183778,0.0330365,0.0510648,0.00199588,0.819399,0.00507661,0.0864583,0.00357143,0.246114,0.380357,0
0.242586,0.0593547,0.0440991,0.0359494,0.579016,0.530966,0.114378,0.0118965,0.0348964,0.100983,0.006889,0.84506,0.00497911,0.115754,0.00357143,0.241495,0.375877,0
0.216489,0.0325118,0.0308834,0.112512,0.553816,0.505379,0.0618996,0.00359823,0.0423264,0.0503997,0.0019315,0.83371,0.00500456,0.0157747,0.428571,0.243569,0.386894,0
0.217675,0.146122,0.121441,0.0855697,0.512536,0.419892,0.252426,0.100241,0.00709153,0.00709949,0.00714654,0.73803,0.0161479,0.170862,0.428571,0.265732,0.43067,0
0.25089,0.123592,0.0574968,0.312248,0.513103,0.433079,0.203192,0.0673382,0.0680394,0.111134,0.00251095,0.775515,0.00529209,0.045199,0.00357143,0.25377,0.402576,0
0.237248,0.0773196,0.0146234,0.339094,0.507877,0.445872,0.136695,0.0209171,0.0168668,0.0567445,0.00199588,0.794969,0.016058,0.118295,0.428571,0.249564,0.384153,0
0.192171,0.0621734,0.0030794,0.295173,0.506899,0.451196,0.106437,0.00868626,0.00929777,0.017438,0.00695339,0.802899,0.0161813,0.033244,0.428571,0.247554,0.377201,0
0.298932,0.097193,0.0272676,0.365457,0.499121,0.433552,0.17547,0.0430804,0.0352784,0.074502,0.00251095,0.794969,0.01613,0.0779782,0.00357143,0.249564,0.384153,0
0.188019,0.132439,0.114977,0.123963,0.485455,0.39816,0.229211,0.0716303,0.0144875,0.00144318,0.00206026,0.740692,0.0161502,0.0148727,0.428571,0.266744,0.42662,0
0.215896,0.084128,0.0105258,0.349391,0.495776,0.4364,0.149425,0.0245321,0.0229249,0.0422335,0.00701777,0.794969,0.0160425,0.227127,0.00357143,0.249564,0.384153,0
0.17675,0.102632,0.0661665,0.214107,0.487217,0.402308,0.163127,0.057798,0.0103952,0.00182549,0.00708215,0.76005,0.0162401,0.00743685,0.428571,0.26018,0.412326,0
0.446026,0.105121,0.030303,0.314178,0.482993,0.414427,0.169564,0.0688851,0.0406356,0.0709039,0.00206026,0.78672,0.00525143,0.0283098,0.00357143,0.251846,0.391142,0
0.18624,0.083134,0.00598348,0.332931,0.481375,0.429661,0.146871,0.0226096,0.0118874,0.0057727,0.00701777,0.805404,0.0160659,0.0157747,0.428571,0.248103,0.373024,0
0.202254,0.147267,0.140251,0.177861,0.46167,0.37689,0.265046,0.00343964,0.00652693,0.00645408,0.00206026,0.722726,0.00520087,0.0262862,0.428571,0.275204,0.437608,0
0.221827,0.0801122,0.0136657,0.317623,0.478187,0.430112,0.140958,0.0167577,0.00501447,0.00673826,0.00199588,0.805404,0.0160127,0.045199,0.428571,0.248103,0.373024,0
0.182088,0.10433,0.00236901,0.31128,0.458565,0.40582,0.175556,0.0657141,0.000455861,0.00580867,0.00701777,0.797508,0.00521806,0.0117583,0.00357143,0.250133,0.380066,0
0.326216,0.315814,0.3035,0.493949,0.498312,0.393932,0.595639,0.139459,0.061987,0,0.006889,0.623676,0.00493054,0.0235125,0.428571,0.250896,0.494906,0
0.291815,0.0670408,0.0294595,0.216252,0.396905,0.35768,0.11323,0.0745081,0.0561005,0.0310467,0.00341231,0.794257,0.00625554,0.0527883,0.00357143,0.25387,0.403648,0
0.221827,0.0405459,0.0375,0.143382,0.365056,0.326286,0.0744446,0.0297994,0.0517538,0.0187613,0.00212465,0.796649,0.0053063,0.0517348,0.00357143,0.254675,0.40217,0
0.272835,0.193655,0.180937,0.42407,0.370219,0.297156,0.365515,0.0781578,0.012974,0.00595037,0.00206026,0.697079,0.00511891,0.133078,0.00357143,0.269851,0.452785,0
0.225979,0.051108,0.0104936,0.0468795,0.309011,0.262201,0.0971938,0.020513,0.006479,0,0.00257533,0.774905,0.00628661,0.122001,0.00357143,0.250302,0.420686,0
0.16548,0.0502463,0.00785096,0.0572554,0.310395,0.264421,0.0948225,0.0055099,0.0355571,0.0502631,0.00708215,0.784029,0.00532051,0.109999,0.00357143,0.247139,0.414125,0
0.233689,0.187901,0.160569,0.460189,0.342461,0.365073,0.363863,0.123422,0.0122744,0.0964275,0.00289724,0.837987,0.00705309,0.0216782,0.00357143,0.24814,0.368353,0
0.228351,0.163531,0.163582,0.402805,0.299376,0.240511,0.306387,0.0163805,0.0430058,0.00322704,0.00199588,0.687743,0.00508652,0.0268065,0.5,0.259005,0.466191,0
0.256821,0.0262438,0.00665711,0.0970973,0.281468,0.240742,0.049915,0.0314894,0.0252869,0.0227363,0.0072753,0.777142,0.00628198,0.225615,0.428571,0.25255,0.421316,0
0.212337,0.0161304,0.00849046,0.121663,0.268002,0.230092,0.0294526,0.01881,0.0152151,0.0164547,0.00914242,0.777142,0.00671794,0.272487,0.428571,0.25255,0.421316,0
0.220047,0.185983,0.185373,0.469909,0.292626,0.231564,0.349914,0.00534539,0.0504937,0.0204096,0.00199588,0.675194,0.0189305,0.0262862,0.00357143,0.261742,0.473402,0
0.234282,0.228641,0.202505,0.518306,0.337727,0.374082,0.444295,0.124883,0.0393337,0.0355912,0.00199588,0.846163,0.00503794,0.100725,0.00357143,0.249142,0.361425,0
0.227165,0.241574,0.217823,0.518336,0.325623,0.369275,0.431515,0.120496,0.039204,0.000912744,0.00695339,0.853776,0.00500754,0.0400227,0.00357143,0.240415,0.354824,0
0.198695,0.151516,0.122374,0.378596,0.253305,0.290431,0.29391,0.0355139,0.0309885,0.0464738,0.00701777,0.828297,0.00616102,0.0568054,0.00428571,0.240194,0.382156,0
0.241993,0.244825,0.216218,0.516425,0.31811,0.364912,0.416042,0.116321,0.0399132,0.0145037,0.00199588,0.853776,0.00500754,0.0527883,0.00357143,0.240415,0.354824,0
0.199288,0.0686287,0.032567,0.256102,0.212609,0.219762,0.133125,0.0414483,0.0593267,0.0671224,0.00701777,0.799114,0.0161003,0.140426,0.00357143,0.25044,0.410914,0
0.191578,0.16371,0.161047,0.456898,0.229623,0.182199,0.307229,0.0583362,0.00697333,0.00547647,0.00695339,0.692441,0.0159658,0.00743685,0.5,0.267117,0.469979,0
0.179122,0.16966,0.133769,0.435053,0.238336,0.289102,0.328149,0.00298816,0.0295291,0.00595037,0.00836982,0.830137,0.0121136,0.0189579,0.428571,0.242092,0.383509,0
0.140569,0.0493173,0.000439914,0.251646,0.205973,0.194649,0.0956652,0.0251477,0.024315,0.0401867,0.00701777,0.790419,0.0160864,0.0148727,0.00357143,0.253808,0.417709,0
0.176157,0.100702,0.0572987,0.320911,0.196095,0.227152,0.187381,0.0171136,0.0120351,0.0116353,0.00701777,0.809314,0.0160682,0.13176,0.00357143,0.249651,0.406441,0
0.185647,0.155765,0.151845,0.438666,0.208656,0.16642,0.292195,0.084288,0.0295853,0.00841509,0.006889,0.706983,0.00495532,0.0319742,0.5,0.268391,0.465516,0
0.26809,0.335347,0.323618,0.256954,0.402753,0.447731,0.343178,0.00369011,0.00193405,0.187085,0.00186711,0.873682,0.00479404,0.0763818,0.428571,0.261663,0.327722,0
0.164887,0.0819228,0.0728965,0.318701,0.173946,0.153095,0.151368,0.0176529,0.0867394,0.00258163,0.006889,0.754035,0.0158961,0.0706018,0.00357143,0.258275,0.443552,0
0.358837,0.364631,0.361509,0.891378,0.414937,0.330381,0.57413,0.276069,0.132257,0.00266108,0.0015452,0.507659,0.00405342,0.0157747,0.00357143,0.285162,0.525005,0
0.196916,0.0516766,0.0402131,0.233758,0.129903,0.165219,0.0898444,0.0328188,0.0324655,0.0406607,0.00708215,0.804527,0.0159704,0.101665,0.00428571,0.257923,0.420207,0
0.283511,0.28896,0.28559,0.768345,0.322313,0.257915,0.479063,0.250362,0.0452659,0,0.00656709,0.619379,0.0151597,0.166089,0.5,0.29604,0.503691,0
0.196323,0.0126845,0.0118205,0.177975,0.128354,0.120502,0.0251836,0.0134384,0.0175373,0.0302172,0.006889,0.777562,0.0189867,0.0525269,0.00357143,0.271261,0.436022,0
0.227758,0.190212,0.164547,0.443147,0.194453,0.278999,0.238018,0.0122842,0.0250765,0.11797,0.0019315,0.841629,0.0049768,0.2121,0.00357143,0.248092,0.384335,0
0.223606,0.191454,0.165999,0.444681,0.194949,0.27979,0.236012,0.0118401,0.0230514,0.119818,0.0019315,0.841629,0.0049768,0.17919,0.00357143,0.248092,0.384335,0
0.18624,0.143845,0.121149,0.348714,0.151618,0.236698,0.199596,0.0163122,0.0223372,0.0363382,0.00244656,0.835001,0.0159539,0.112675,0.428571,0.248282,0.391635,0
0.290629,0.07871,0.0677197,0.168047,0.0767879,0.157821,0.108098,0.0376615,0.0336998,0.104733,0.0019315,0.814279,0.00496061,0.105339,0.00357143,0.256946,0.417527,0
0.164887,0.0494132,0.0369947,0.163015,0.0581671,0.0589305,0.0881845,0.0341292,0.0432467,0.0325595,0.0023178,0.761019,0.0057347,0.100725,0.00357143,0.276815,0.460975,0
0.183274,0.0937784,0.081155,0.16738,0.0641361,0.16272,0.0882661,0.0173275,0.0160331,0.0883242,0.006889,0.815688,0.00491864,0.125808,0.00357143,0.259762,0.422583,0
0.157177,0.0248374,0.0136444,0.118703,0.0279117,0.0394112,0.0449963,0.00380918,0.0249227,0.0093082,0.00714654,0.762474,0.0156287,0.105981,0.00357143,0.282375,0.466983,0
0.167853,0.0208051,0.0210516,0.143776,0.0231969,0.0293495,0.0326684,0.00601356,0.0152832,0.0383135,0.00682462,0.762474,0.0156492,0.104822,0.00357143,0.282375,0.466983,0
0.1121,0.100591,0.0772053,0.0590547,0.026442,0.121745,0.0349828,0.0042784,0.0617367,0.0057727,0.00682462,0.808858,0.0156703,0.0117583,0.00357143,0.267512,0.435584,1
0.156584,0.788117,0.786872,0.320197,0.147748,0.793886,0.283929,0.597301,0.592611,0.00258163,0.000836982,0.0992058,0.00951319,0.0410433,0.428571,0.347046,0.701187,0
0.267497,0.146916,0.138673,0.453975,0.137846,0.108759,0.175474,0.0448474,0.10973,0.0333183,0.00160958,0.678704,0.00422362,0.151397,0.00357143,0.303762,0.510416,0
0.23013,0.215116,0.204222,0.613392,0.220308,0.171695,0.294531,0.122636,0.0309885,0.00144318,0.00148081,0.653795,0.00400517,0.0793697,0.5,0.31456,0.502946,0
0.163108,0.0456236,0.0351725,0.222495,0.0125128,0.016021,0.00989463,0.0414187,0.035735,0.0102048,0.00985063,0.753459,0.0223137,0.127085,0.00357143,0.292774,0.481065,0
0.163108,0.671833,0.669962,0.0724644,0.233364,0.680839,0.252479,0.394531,0.467392,0.080054,0.00173835,0.178194,0.0104658,0.0517348,0.428571,0.354998,0.677525,0
0.19395,0.772788,0.771451,0.303616,0.181361,0.778919,0.238053,0.598148,0.61665,0.0151911,0.000836982,0.100666,0.00730686,0.147114,0.00357143,0.351804,0.702576,0
0.155397,0.0651008,0.0525583,0.266653,0.0311047,0.0199179,0.0043263,0.0217388,0.0366961,0.00232705,0.00695339,0.744036,0.0461449,0.0763818,0.00357143,0.303511,0.495666,0
0.163108,0.13251,0.111319,0.0600138,0.0269732,0.136927,0.041829,0.00574785,0.0609491,0.00774489,0.00180273,0.811047,0.00469986,0.061455,0.428571,0.269168,0.449193,0
0.190391,0.0310674,0.0112027,0.158879,0.018413,0.0158735,0.0212792,0.00403679,0.0296029,0.00968112,0.00682462,0.764994,0.0156244,0.117493,0.428571,0.294912,0.48096,0
0.16726,0.0927785,0.0806742,0.331451,0.065382,0.0457355,0.0423422,0.0119527,0.0611211,0.00584442,0.00263971,0.733058,0.0044487,0.236067,0.428571,0.307277,0.50287,0
0.19395,0.0430785,0.0160554,0.186507,0.0238983,0.022388,0.0299555,0.0153825,0.0474292,0.0246018,0.00218903,0.764994,0.00547097,0.159593,0.643,0.294912,0.48096,0
0.311388,0.155537,0.137096,0.0884208,0.051996,0.157856,0.0325193,0.0444223,0.0678988,0.0580042,0.00225341,0.819074,0.00566661,0.0786771,0.00357143,0.270104,0.441806,0
0.183274,0.0629341,0.0392548,0.249824,0.0302533,0.0159871,0.0276563,0.015734,0.0109786,0.0147176,0.00212465,0.754685,0.00561806,0.05871,0.643,0.299386,0.488363,0
0.132266,0.1408,0.118608,0.0583151,0.0247566,0.14014,0.0271042,0.0225849,0.0228113,0.0322704,0.00676024,0.811906,0.00458716,0.122001,0.00357143,0.274758,0.456984,0
0.188019,0.0951324,0.0269248,0.236369,0.0718369,0.0484408,0.0439399,0.0562716,0.0348994,0.00752668,0.00160958,0.746161,0.00417438,0.116104,0.00357143,0.318253,0.512071,0
0.182681,0.602977,0.600687,0.107342,0.321647,0.613886,0.222647,0.353014,0.513242,0.0991998,0.0011589,0.195869,0.00851197,0.0475751,0.00357143,0.364549,0.675754,0
0.104389,0.141373,0.110896,0.0450183,0.0142983,0.137263,0.00539955,0.0505565,0.0181545,0,0.00495751,0.812598,0.011524,0.033244,0.643,0.28117,0.465417,0
0.289442,0.0497027,0.0169153,0.127325,0.249568,0.400485,0.155571,0.0298592,0.048332,0.041114,0.00341231,0.913426,0.00632702,0.0741988,0.428571,0.274075,0.192626,0
0.282325,0.0677752,0.0494635,0.180453,0.19789,0.465781,0.187094,0.0541386,0.000455861,0.00608877,0.00341231,0.904341,0.00637773,0.0517348,0.00357143,0.298312,0.227531,0
0.102017,0.137887,0.100816,0.0319057,0.032424,0.130727,0.0480447,0.0790509,0.0127966,0.0429087,0.00669585,0.804804,0.0153501,0.170399,0.428571,0.295326,0.475928,0
0.272242,0.327952,0.246831,0.73139,0.355492,0.27286,0.449894,0.29194,0.0209746,0.00258163,0.00122328,0.603735,0.00333825,0.0117583,0.428571,0.376148,0.554908,0
0.295967,0.577485,0.575043,0.158489,0.353842,0.589091,0.238634,0.340683,0.529862,0.151224,0.00122328,0.212038,0.0101678,0.11098,0.00357143,0.368753,0.671916,0
0.279359,0.0445253,0.000983679,0.135757,0.240198,0.399684,0.190573,0.0131784,0.0519941,0.00456372,0.00341231,0.913426,0.0063077,0.195068,0.428571,0.274075,0.192626,0
0.177936,0.145656,0.0167225,0.174945,0.135948,0.0990865,0.0765612,0.0796627,0.00608194,0.0235552,0.0019315,0.747748,0.0148884,0.175118,0.643,0.335058,0.530871,0
0.237841,0.248097,0.18353,0.542819,0.284596,0.214731,0.370799,0.188308,0.0813938,0.0083903,0.00128766,0.594841,0.017361,0.0268065,0.00357143,0.325563,0.576668,0
0.330368,0.0427509,0.0259699,0.100764,0.158951,0.478857,0.120815,0.0504305,0.010874,0.0584442,0.00276848,0.904631,0.00514271,0.240494,0.00357143,0.305137,0.230867,0
0.255635,0.283096,0.201393,0.643366,0.342897,0.260862,0.359575,0.263507,0.0217909,0.00985172,0.00122328,0.619065,0.0141577,0.0336566,0.00357143,0.381257,0.554671,0
0.246738,0.097817,0.0860845,0.239034,0.111702,0.499184,0.0705802,0.00359823,0.00493089,0.000645408,0.0104301,0.894815,0.0196385,0.114698,0.00357143,0.337924,0.283382,0
0.244365,0.206761,0.19918,0.362442,0.23187,0.394668,0.0773749,0.0417114,0.0425321,0.00376334,0.249356,0.875384,0.1163,0.00525871,0.428571,0.35318,0.362022,0
0.20344,0.136983,0.0384025,0.193802,0.181276,0.134501,0.0903717,0.0956329,0.0185955,0.0219249,0.00637394,0.737588,0.00377978,0.191576,0.00357143,0.34736,0.548012,0
0.101423,0.146277,0.0735914,0.0519362,0.1279,0.157926,0.138391,0.00302529,0.0434672,0.00432953,0.0464847,0.787849,0.0151776,0.0540761,0.428571,0.32677,0.511871,0
0.0984579,0.154181,0.0890498,0.080898,0.122049,0.169693,0.151796,0.0238539,0.0233203,0.00580867,0.00160958,0.796811,0.0339927,0.0484358,0.428571,0.32098,0.504103,0
0.0925267,0.157599,0.0948345,0.0936597,0.120508,0.173526,0.145975,0.0334087,0.014139,0.0141696,0.0011589,0.796811,0.00426295,0.0283098,0.428571,0.32098,0.504103,1
0.288849,0.0612019,0.0439914,0.0199342,0.214122,0.410188,0.211582,0.0732253,0.0373277,0.0139623,0.00328354,0.91879,0.00611248,0.208808,0.00357143,0.280861,0.176352,0
0.250297,0.292267,0.260821,0.274882,0.220698,0.315869,0.190056,0.0472565,0.11912,0.0678446,0.114473,0.866046,0.11653,0.0268065,0.428571,0.33784,0.427797,0
0.0788849,0.108784,0.0200366,0.00868583,0.183148,0.154744,0.0393093,0.0271619,0.0277289,0.0347563,0.0436518,0.769118,0.0759379,0.210584,0.428571,0.34697,0.537786,0
0.202847,0.29583,0.270227,0.340525,0.158718,0.283183,0.267847,0.0337577,0.151357,0.00232705,0.114409,0.857368,0.11656,0.0166278,0.00357143,0.319999,0.446709,0
0.113879,0.612588,0.610386,0.0607286,0.40126,0.620376,0.112888,0.541929,0.719048,0.00204096,0.00785475,0.152383,0.0321762,0.0157747,0.428571,0.371333,0.698549,0
0.290036,0.0380434,0.0391561,0.11847,0.153755,0.457799,0.121338,0.00974022,0.0335793,0.0345037,0.00328354,0.911327,0.00610403,0.0995022,0.428571,0.30012,0.213269,0
0.293001,0.0778135,0.0768957,0.230754,0.0641316,0.436529,0.0295441,0.0291595,0.0132514,0.0145037,0.00328354,0.889868,0.00612617,0.136951,0.428571,0.369017,0.320988,0
0.175563,0.243942,0.232857,0.443489,0.0963249,0.246411,0.167032,0.0385056,0.133782,0.00491528,0.114151,0.851747,0.256891,0.0745671,0.428571,0.325887,0.466686,0
0.106762,0.577365,0.574976,0.0416806,0.440418,0.585701,0.179845,0.529205,0.733061,0.00777174,0.0015452,0.168726,0.00987517,0.0774498,0.428571,0.375736,0.695843,0
0.247924,0.0288084,0.0130277,0.140956,0.0290535,0.479337,0.0405577,0.0629113,0.0154859,0.0314731,0.0105588,0.89669,0.0216505,0.107758,0.642857,0.351584,0.28323,0
0.150652,0.0888786,0.0330668,0.0901427,0.197028,0.197774,0.125234,0.0243906,0.0291537,0.00258163,0.0183492,0.778833,0.0318178,0.129704,0.00357143,0.354117,0.541939,0
0.290036,0.0634224,0.0527897,0.142079,0.133522,0.47768,0.116355,0.040459,0,0.0257193,0.00321916,0.908126,0.00602352,0.300975,0.00357143,0.325524,0.235557,0
0.233096,0.0358691,0.0025079,0.118383,0.0427029,0.500642,0.0640712,0.0275495,0.000911722,0.0118481,0.00785475,0.898946,0.00613784,0.207821,0.00357143,0.353778,0.276523,0
0.332147,0.120177,0.120971,0.199805,0.211495,0.441997,0.123795,0.0682356,0.0817822,0.0238888,0.00321916,0.920036,0.00594946,0.119318,0.5,0.299146,0.196051,0
0.120403,0.0398391,0.018924,0.0546747,0.193112,0.160016,0.0548585,0.0264752,0.0190209,0.0136912,0.0179629,0.769146,0.0310778,0.0117583,0.00357143,0.382136,0.57369,0
0.099051,0.243372,0.152594,0.510302,0.276427,0.238729,0.218745,0.346993,0.301814,0.00266108,0.00270409,0.514243,0.0139545,0.0475751,0.428571,0.418244,0.640704,0
0.14828,0.22527,0.0790635,0.47978,0.277078,0.217448,0.132112,0.178071,0.19947,0.0942295,0.0159027,0.62342,0.0275124,0.278833,0.428571,0.419499,0.638412,0
0.0996441,0.53147,0.52888,0.0102167,0.507821,0.539679,0.288628,0.543716,0.752978,0.0184817,0.00160958,0.185806,0.032454,0.0484358,0.428571,0.383174,0.696003,0
0.294187,0.130567,0.13034,0.235195,0.208567,0.454253,0.0957066,0.0500774,0.0803519,0.000912744,0.00315478,0.920036,0.0143829,0.194802,0.5,0.299146,0.196051,0
0.199881,0.0290827,0.00544144,0.0638114,0.0196071,0.427883,0.0129233,0.030656,0.00613298,0.0127784,0.00328354,0.893259,0.0195734,0.285127,0.642857,0.380274,0.310622,0
0.240214,0.016827,0.01343,0.046107,0.0456349,0.406614,0.0478533,0.00738022,0.0165246,0.0307705,0.0102369,0.890071,0.00603239,0.232681,0.642857,0.398644,0.332429,0
0.259193,0.0949628,0.0893384,0.261297,0.180096,0.309007,0.176481,0.00467722,0.0433931,0.00516326,0.00309039,0.879008,0.00578725,0.08956,0.428571,0.421171,0.397597,0
0.0860024,0.237474,0.0949645,0.47951,0.247673,0.224806,0.157194,0.284096,0.302983,0.000912744,0.00212465,0.552666,0.01188,0.233277,0.00357143,0.426232,0.640253,0
0.116251,0.173292,0.0482153,0.375923,0.213988,0.167684,0.0681122,0.104141,0.250315,0.00516326,0.0410765,0.65107,0.0276874,0.044893,0.00357143,0.426985,0.640106,0
0.190985,0.00695033,0.00433265,0.0222958,0.0623227,0.395514,0.0553029,0.00528238,0.00851618,0.0057727,0.0102369,0.889142,0.014279,0.0157747,0.642857,0.411006,0.341268,0
0.392052,0.155219,0.137367,0.354332,0.0745524,0.153442,0.10506,0.0580081,0.0537993,0.0788349,0.110417,0.830508,0.11305,0.168612,0.00357143,0.398074,0.542688,0
0.271649,0.0278323,0.0134588,0.0523327,0.0507698,0.421194,0.0149024,0.0243861,0.030307,0.0219534,0.00315478,0.891696,0.00584924,0.122001,0.00357143,0.402785,0.327048,0
